
45233.3,45233.3,45243.1,45238.2,45250.5
45191.8,45204.5,45206.5,45210,45213.1
45240,45244.6,45256.5,45253.8,45254.3
45223.3,45230,45225.1,45236.5,45218.2
45243.9,45248.9,45263.6,45261.6,45258
45165.9,45173.3,45159,45166.5,45158.7
45198.9,45205.2,45214.2,45212.2,45210.2
45248.4,45239.5,45253.2,45246.8,45248.5
45217.4,45225.8,45220.1,45221.1,45213.8
45362.2,45344.6,45352.7,45361.1,45362
45290.8,45298.2,45298.7,45290.1,45285.1
45249.1,45259.7,45268.2,45257.5,45253.2
45307.4,45303.2,45300.6,45291.1,45307.5
45226.5,45214,45220.3,45226.7,45222.6
44972.8,44989,44982.5,44981.6,44984.7
45432.8,45435,45421.9,45428,45440.3
45566.5,45556.9,45553.2,45554.8,45557.8
45533.4,45530.1,45519.1,45534.3,45527.5
45128,45129,45121.5,45129.1,45135.1
45312.6,45319,45301.5,45301.9,45315.1
45374.6,45361.1,45362.3,45372,45356.7
45809.6,45810.5,45814.1,45808.3,45807.1
